href,title,valor_monetario
/genclerbirligi-ankara/kader/verein/820/saison_id/2009,Genclerbirligi Ankara,€ 29.00 mi.
/eskisehirspor/kader/verein/825/saison_id/2009,Eskisehirspor,€ 24.70 mi.
/buyuksehir-belediyespor/kader/verein/6890/saison_id/2009,Büyüksehir Belediyespor,€ 24.00 mi.
/antalyaspor/kader/verein/589/saison_id/2009,Antalyaspor,€ 23.95 mi.
/ankaraspor/kader/verein/2944/saison_id/2009,Ankaraspor,€ 20.25 mi.
/kasimpasa/kader/verein/10484/saison_id/2009,Kasimpasa,€ 20.20 mi.
/manisaspor/kader/verein/1267/saison_id/2009,Manisaspor,€ 19.88 mi.
/denizlispor/kader/verein/833/saison_id/2009,Denizlispor,€ 18.35 mi.
/diyarbakirspor/kader/verein/845/saison_id/2009,Diyarbakirspor,€ 17.75 mi.
/fenerbahce/kader/verein/36/saison_id/2010,Fenerbahce,€ 140.65 mi.
/besiktas-jk/kader/verein/114/saison_id/2010,Besiktas JK,€ 128.25 mi.
/galatasaray/kader/verein/141/saison_id/2010,Galatasaray,€ 117.45 mi.
/trabzonspor/kader/verein/449/saison_id/2010,Trabzonspor,€ 80.38 mi.
/bursaspor/kader/verein/20/saison_id/2010,Bursaspor,€ 65.55 mi.
/kayserispor/kader/verein/3205/saison_id/2010,Kayserispor,€ 39.80 mi.
/gaziantepspor/kader/verein/524/saison_id/2010,Gaziantepspor,€ 38.30 mi.
/mke-ankaragucu/kader/verein/868/saison_id/2010,MKE Ankaragücü,€ 37.45 mi.
/buyuksehir-belediyespor/kader/verein/6890/saison_id/2010,Büyüksehir Belediyespor,€ 35.25 mi.
/genclerbirligi-ankara/kader/verein/820/saison_id/2010,Genclerbirligi Ankara,€ 32.90 mi.
/eskisehirspor/kader/verein/825/saison_id/2010,Eskisehirspor,€ 30.75 mi.
/sivasspor/kader/verein/2381/saison_id/2010,Sivasspor,€ 30.30 mi.
/manisaspor/kader/verein/1267/saison_id/2010,Manisaspor,€ 25.15 mi.
/antalyaspor/kader/verein/589/saison_id/2010,Antalyaspor,€ 23.35 mi.
/konyaspor/kader/verein/2293/saison_id/2010,Konyaspor,€ 23.00 mi.
/kardemir-dc-karabukspor/kader/verein/1506/saison_id/2010,Kardemir DC Karabükspor,€ 21.30 mi.
/bucaspor/kader/verein/2750/saison_id/2010,Bucaspor,€ 20.95 mi.
/kasimpasa/kader/verein/10484/saison_id/2010,Kasimpasa,€ 17.20 mi.
/fenerbahce/kader/verein/36/saison_id/2011,Fenerbahce,€ 132.50 mi.
/galatasaray/kader/verein/141/saison_id/2011,Galatasaray,€ 124.50 mi.
/besiktas-jk/kader/verein/114/saison_id/2011,Besiktas JK,€ 107.15 mi.
/trabzonspor/kader/verein/449/saison_id/2011,Trabzonspor,€ 99.95 mi.
/bursaspor/kader/verein/20/saison_id/2011,Bursaspor,€ 62.80 mi.
/gaziantepspor/kader/verein/524/saison_id/2011,Gaziantepspor,€ 50.85 mi.
/kayserispor/kader/verein/3205/saison_id/2011,Kayserispor,€ 47.75 mi.
/eskisehirspor/kader/verein/825/saison_id/2011,Eskisehirspor,€ 40.15 mi.
/sivasspor/kader/verein/2381/saison_id/2011,Sivasspor,€ 38.23 mi.
/istanbul-buyuksehir-belediyespor/kader/verein/6890/saison_id/2011,Istanbul Büyüksehir Belediyespor,€ 37.65 mi.
/orduspor/kader/verein/2323/saison_id/2011,Orduspor,€ 33.95 mi.
/kardemir-dc-karabukspor/kader/verein/1506/saison_id/2011,Kardemir DC Karabükspor,€ 31.10 mi.
/manisaspor/kader/verein/1267/saison_id/2011,Manisaspor,€ 31.00 mi.
/genclerbirligi-ankara/kader/verein/820/saison_id/2011,Genclerbirligi Ankara,€ 30.83 mi.
/antalyaspor/kader/verein/589/saison_id/2011,Antalyaspor,€ 30.65 mi.
/samsunspor/kader/verein/152/saison_id/2011,Samsunspor,€ 27.80 mi.
/mersin-idmanyurdu/kader/verein/3216/saison_id/2011,Mersin Idmanyurdu,€ 24.15 mi.
