,href,title,valor_monetario,nome_time,id_time,temporada
194,/stoke-city/kader/verein/512/saison_id/2013,Stoke City,€ 104.70 mi.,stoke-city,512,13/14
195,/west-bromwich-albion/kader/verein/984/saison_id/2013,West Bromwich Albion,€ 90.80 mi.,west-bromwich-albion,984,13/14
196,/norwich-city/kader/verein/1123/saison_id/2013,Norwich City,€ 89.30 mi.,norwich-city,1123,13/14
197,/cardiff-city/kader/verein/603/saison_id/2013,Cardiff City,€ 87.90 mi.,cardiff-city,603,13/14
198,/crystal-palace-fc/kader/verein/873/saison_id/2013,Crystal Palace FC,€ 68.70 mi.,crystal-palace-fc,873,13/14
199,/hull-city/kader/verein/3008/saison_id/2013,Hull City,€ 68.15 mi.,hull-city,3008,13/14
200,/chelsea-fc/kader/verein/631/saison_id/2014,Chelsea FC,€ 557.25 mi.,chelsea-fc,631,14/15
201,/manchester-united-fc/kader/verein/985/saison_id/2014,Manchester United FC,€ 505.40 mi.,manchester-united-fc,985,14/15
202,/manchester-city-fc/kader/verein/281/saison_id/2014,Manchester City FC,€ 448.25 mi.,manchester-city-fc,281,14/15
203,/fc-arsenal/kader/verein/11/saison_id/2014,FC Arsenal,€ 414.75 mi.,fc-arsenal,11,14/15
204,/fc-liverpool/kader/verein/31/saison_id/2014,FC Liverpool,€ 324.85 mi.,fc-liverpool,31,14/15
205,/tottenham-hotspur/kader/verein/148/saison_id/2014,Tottenham Hotspur,€ 304.15 mi.,tottenham-hotspur,148,14/15
206,/fc-southampton/kader/verein/180/saison_id/2014,FC Southampton,€ 210.25 mi.,fc-southampton,180,14/15
207,/fc-everton/kader/verein/29/saison_id/2014,FC Everton,€ 182.85 mi.,fc-everton,29,14/15
208,/newcastle-united/kader/verein/762/saison_id/2014,Newcastle United,€ 140.00 mi.,newcastle-united,762,14/15
209,/west-ham-united/kader/verein/379/saison_id/2014,West Ham United,€ 135.90 mi.,west-ham-united,379,14/15
